"org.eclipse.equinox:registry",1,"org.eclipse.core:runtime"|
"org.neo4j:neo4j-graph-algo",2,"org.neo4j:neo4j-community"|"org.neo4j:neo4j"|
"org.ow2.jonas.camel:cxf-servlet-deployer-starter",2,"org.ow2.jonas.camel:camel-jonas5-test-and-package"|"org.ow2.jonas.camel:package-camel-and-deployment-plans"|
"org.xwiki.commons:xwiki-commons-component-api",21,"org.xwiki.rendering:xwiki-rendering-macro-footnotes"|"org.xwiki.rendering:xwiki-rendering"|"org.xwiki.rendering:xwiki-rendering-standalone"|"org.xwiki.rendering:xwiki-rendering-integration-tests"|"org.xwiki.rendering:xwiki-rendering-macro-comment"|"org.xwiki.rendering:xwiki-rendering-transformation-icon"|"org.xwiki.rendering:xwiki-rendering-test"|"org.xwiki.rendering:xwiki-rendering-transformation-wikiword"|"org.xwiki.rendering:xwiki-rendering-syntax-xhtml"|"org.xwiki.rendering:xwiki-rendering-macro-id"|"org.xwiki.rendering:xwiki-rendering-macro-message"|"org.xwiki.rendering:xwiki-rendering-macros"|"org.xwiki.rendering:xwiki-rendering-archetype-macro"|"org.xwiki.rendering:xwiki-rendering-macro-toc"|"org.xwiki.rendering:xwiki-rendering-macro-html"|"org.xwiki.rendering:xwiki-rendering-syntax-xwiki10"|"org.xwiki.rendering:xwiki-rendering-syntax-doxia"|"org.xwiki.rendering:xwiki-rendering-transformation-macro"|"org.xwiki.rendering:xwiki-rendering-syntax-xwiki2"|"org.xwiki.rendering:xwiki-rendering-syntaxes"|"org.xwiki.rendering:xwiki-rendering-transformations"|
"org.apache.axis2:axis2-java2wsdl",1,"org.ow2.jonas:jonas-webservices-axis2-core"|
"org.apache.lucene:lucene-highlighter",1,"org.apache.maven.indexer:indexer-core"|
"org.apache.openjpa:openjpa",4,"org.kuali.student.common:ks-common-test"|"org.ow2.easybeans.osgi:easybeans-modules-persistence-openjpa-2.x"|"org.ow2.easybeans:easybeans-jpa-openjpa-dependency"|"org.ow2.easybeans.osgi:easybeans-modules-persistence-openjpa-1.x"|
"org.sonatype.nexus.plugins.ldap:ldap-common",1,"org.sonatype.nexus.plugins.ldap:nexus-ldap-realm-plugin"|
"woodstox:wstx-asl",7,"org.apache.solr:solr-core"|"xfire:xfire-spring"|"xfire:xfire-core"|"servicemix:servicemix-xfire"|"xfire:xfire-all"|"yom:yom"|"org.objectweb.celtix:celtix-tools"|
"ant4eclipse:ant4eclipse",3,"org.openscm.kundo.plugins:kundo-reactor-plugin"|"org.openscm.kundo.plugins:kundo-project-plugin"|"org.openscm.kundo.plugins:kundo-dependency-management-plugin"|
"org.nuiton.topia:topia-service-security",1,"org.nuiton.topia:topia-service-history"|
